year,hours,tot_spp,participants,Black-bellied Whstling-Duck,Fulvous Whstling-Duck,Greater White-fronted Goose,Snow Goose-Blue,Snow Goose-White,Canada Goose,Muscovy Duck,Wood Duck,Gadwall,American Wigeon,American Black Duck,Mallard-Wild,Mallard-Feral,Mottled Duck,Blue-winged Teal,Northern Shoveler,Northern Pintail,Green-winged Teal,Canvasback,Redhead,Ring-necked Duck,Greater Scaup,Lesser Scaup,Bufflehead,Common Goldeneye,Hooded Merganser,Common Merganser,Red-breasted Merganser,Ruddy Duck,Duck sp.,Northern Bobwhite,Wild Turkey,Common Loon,Pied-billed Grebe,Horned Grebe,Wood Stork,Brown Pelican,Dbl-cr Cormorant,Anhinga,American White Pelican,American Bittern,Least Bittern,Great Blue Heron,Great Egret,Snowy Egret,Little Blue Heron,Tricolored Heron,Cattle Egret,Green Heron,Black-crowned Night-Heron,Yellow-crowned Night-Heron,White Ibis,Glossy Ibis,Roseate Spoonbill,Black Vulture,Turkey Vulture,Osprey,Northern Harrier,Sharp-shinned Hawk,Cooper's Hawk,Accipiter sp.,Bald Eagle,  Bald Eagle Ad.,  Bald Eagle Imm.,  Bald Eagle Unk.,Red-shouldered Hawk,Broad-winged Hawk,Red-tailed Hawk,Rough-legged Hawk,King Rail,Virginia Rail,Sora,Purple Gallinule,Common Moorhen,American Coot,Limpkin,Sandhill Crane,Black-bellied Plover,Killdeer,American Avocet,Greater Yellowlegs,Lesser Yellowlegs,Yellowlegs sp,Solitary Sandpiper,Spotted Sandpiper,Semipalmated Sandpiper,Western Sandpiper,Least Sandpiper,Peep sp.,Pectoral Sandpiper,Dunlin,Stilt Sandpiper,Short-billed Dowitcher,Long-billed Dowitcher,Dowitcher sp.,Wilson's Snipe,American Woodcock,Laughing Gull,Bonaparte's Gull,Ring-billed Gull,Herring Gull,Black-legged Kittiwake,Gull sp.,Gull-billed Tern,Royal Tern,Forster's Tern,Tern sp.,Rock Dove,Eur. Collared Dove,Streptopelia sp.,White-winged Dove,Mourning Dove,Common Ground-Dove,Monk Parakeet,Smooth-billed Ani,Groove-billed Ani,Barn Owl,Eastern Screech-Owl,Great Horned Owl,Barred Owl,Short-eared Owl,Whip-Poor-Will,Vaux's Swift,Ruby-throated H'bird,Black-chinned Hummingbird,Archilochus sp,Selasphorus sp.,Hummingbird sp.,Belted Kingfisher,Red-headed Woodp.,Red-bellied Woodp.,Yellow-bellied Sapsucker,Downy Woodpecker,Hairy Woodpecker,Red-cockaded Woodpecker,Northern Flicker,Pileated Woodpecker,American Kestrel,Merlin,Peregrine Falcon,Empidonax sp.,Eastern Phoebe,Vermilion Flycatcher,Ash-throated Flycatcher,Brown Crested Flycatcher,Myiarchus sp.,Western Kingbird,Eastern Kingbird,Tyrannus sp.,Loggerhead Shrike,White-eyed Vireo,Yellow-throated Vireo,Blue-headed Vireo,Blue Jay,American Crow,Fish Crow,Crow sp.,Tree Swallow,N. Rough-winged Swallow,Barn Swallow,Carolina Chickadee,Tufted Titmouse,Red-breasted Nuthatch,Brown-headed Nuthatch,Brown Creeper,Bewick's Wren,House Wren,Winter Wren,Sedge Wren,Marsh Wren,Carolina Wren,Blue-gray Gnatcatcher,Golden-crowned Kinglet,Ruby-crowned Kinglet,Eastern Bluebird,Hermit Thrush,Catharus sp.,American Robin,Gray Catbird,Northern Mockingbird,Brown Thrasher,European Starling,American Pipit,Cedar Waxwing,Ovenbird,Northern Waterthrush,Louisiana Waterthrush,Blue-winged Warbler,Tennessee Warbler,Black&White Warbler,Orange-crowned Warbler,Common Yellowthroat,Northern Parula,Magnolia Warbler,Black-throated Blue Warbler,Black-thoated Green Warbler,Blackburnian Warbler,Palm Warbler,Pine Warbler,Yellow-rumped Warbler,Yellow-throated Warbler,Prairie Warbler,American Redstart,Waterthrush sp.,Wilson's Warbler,Yellow-breasted Chat,Summer Tanager,Western Tanager,EasternTowhee,Bachman's Sparrow,Chipping Sparrow,Field Sparrow,Vesper Sparrow,Savannah Sparrow,Grasshopper Sparrow,Henslow's Sparrow,Le Conte's Sparrow,Ammodramus sp,Fox Sparrow,Song Sparrow,Lincoln's Sparrow,Swamp Sparrow,White-throated Sparrow,White-crowned Sparrow,Dark-eyed Junco,Northern Cardinal,Rose-brstd Grosbeak,Blue Grosbeak,Indigo Bunting,Painted Bunting,Dickcissel,Red-winged Blackbird,Eastern Meadowlark,Yellow-headed Blackbird,Rusty Blackbird,Brewer's Blackbird,Common Grackle,Boat-tailed Grackle,Brown-headed Cowbird,Baltimore Oriole,Bullock's Oriole,Purple Finch,House Finch,Pine Siskin,American Goldfinch,House Sparrow,White-faced Ibis,Black-neccked Stilt,Willet,Nashville Warbler,Buff-bellied Hummingbird,Tundra Swan,Ross's Goose,Whooping Crane,Rufous Hummingbird,Franklin's Gull,Yellow Warbler,Orchard Oriole,Black Tern,Harris Sparrow,Least Flycatcher,Cave Swallow,Wood Thrush,Black Scoter,Sprague's Pipit,Green-tailed Towhee,Lesser Black-backed Gull,Gray-headed Swamphen
1988,165,135,67,0,0,0,0,0,0,0,216,6,14,57,12,0,41,221,2,2,549,0,0,79,4,0,3,0,307,0,0,16,0,82,13,0,69,0,44,0,974,133,0,0,0,119,241,75,422,27,66,17,41,1,897,80,0,96,490,12,36,12,3,1,34,24,9,1,54,0,53,0,10,0,68,1,114,29,0,1279,0,246,0,24,53,0,0,0,0,0,10,0,0,0,0,0,0,0,531,2,0,71,4251,12,0,0,0,0,73,0,67,0,0,0,780,3,0,0,0,1,27,11,18,0,0,0,0,0,0,0,0,41,1,111,32,50,1,0,95,55,60,1,0,0,257,1,0,0,0,0,0,0,91,53,0,45,135,306,5,14,1185,0,0,67,126,0,19,0,0,53,0,6,5,141,219,7,449,73,20,0,569,26,176,17,448,46,1,1,0,0,0,0,29,26,211,1,0,0,0,0,204,201,3842,41,0,1,0,3,0,0,0,84,0,251,14,15,170,1,0,0,0,0,62,0,203,75,20,0,308,0,0,0,0,0,5214,353,0,6,8,1474,1303,53,5,0,0,0,0,265,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,188,150,63,0,0,0,19,9,1,0,203,3,78,3,11,0,45,304,5,131,2068,0,0,7,0,0,6,0,394,0,0,0,0,56,1,4,59,0,24,0,364,251,0,1,1,237,189,83,174,25,35,17,49,0,534,89,0,173,321,3,35,25,4,0,71,52,19,0,78,0,42,0,2,6,26,0,136,116,2,2552,2,560,0,34,10,0,0,0,0,2,13,0,0,0,0,0,59,20,239,3,0,190,7701,50,0,0,0,0,71,0,143,0,0,0,1007,0,1,0,0,1,15,12,14,0,1,1,0,0,0,1,0,61,9,160,33,87,2,0,85,70,74,1,0,0,281,0,0,0,0,0,0,0,84,48,0,55,179,298,11,3,625,0,0,130,207,0,10,0,0,120,0,5,3,175,294,0,465,140,21,2,1781,61,140,15,261,57,21,7,0,0,0,1,37,28,154,0,0,0,0,0,430,176,3030,30,2,1,0,0,0,0,0,73,1,223,13,21,188,0,0,1,0,1,181,2,227,144,22,1,317,0,0,0,0,0,10596,264,0,3,250,1010,1553,6,8,0,1,0,3,391,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,186,142,67,0,0,0,0,0,0,0,382,15,102,0,5,0,0,23,4,2,1007,1,2,250,0,148,3,1,325,0,6,0,0,42,20,2,334,3,10,0,491,145,0,1,0,144,110,35,111,18,9,14,42,0,389,0,0,76,629,4,42,9,5,1,62,33,26,3,72,1,52,0,0,8,14,0,299,1230,2,867,0,241,0,16,20,0,0,0,0,0,35,0,0,0,0,0,0,15,287,8,0,0,1319,3,0,0,0,0,47,0,292,0,1,0,707,2,0,0,0,0,27,15,25,0,0,0,0,0,0,1,0,40,70,160,33,67,2,0,116,81,75,3,0,0,249,0,0,0,0,0,0,0,72,61,0,53,292,396,157,5,265,0,0,115,153,0,9,0,0,115,0,26,20,231,59,5,358,83,29,0,2771,78,143,36,317,89,211,7,0,0,0,0,38,50,203,3,1,0,0,0,191,139,3449,17,1,0,1,0,0,0,0,293,1,188,8,34,239,0,0,0,0,0,105,0,260,83,8,0,397,0,0,0,0,0,5143,166,0,200,102,1051,922,20,3,0,0,0,4,278,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991,186.5,137,67,0,0,0,7,2,0,0,326,43,42,0,34,0,53,131,4,27,401,0,0,47,0,48,7,0,363,0,0,0,0,50,29,0,199,1,81,0,370,377,0,2,0,153,161,120,176,27,72,21,31,0,819,47,0,211,1115,4,19,7,4,1,56,48,8,0,72,0,43,0,5,8,20,1,232,877,2,3690,0,331,0,40,39,0,1,0,0,0,0,0,0,0,0,40,0,10,178,4,0,16,1048,2,0,0,0,0,81,0,329,0,0,0,952,3,0,0,0,3,40,12,25,2,0,0,0,0,0,0,0,56,24,135,21,40,0,0,84,43,90,3,0,0,214,0,0,0,0,0,0,0,71,72,0,54,174,345,35,75,6,0,0,113,166,0,31,0,0,72,0,47,13,132,189,0,270,95,23,0,369,42,195,24,289,23,0,5,0,0,0,0,27,66,172,2,0,0,0,0,159,184,3876,32,3,0,0,1,0,0,0,152,4,188,7,31,88,0,0,0,0,0,78,0,154,36,1,3,324,0,0,0,1,0,3618,348,0,0,0,402,3363,33,5,0,0,0,0,109,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,217.75,143,79,0,0,0,0,0,0,0,85,3,110,5,8,0,33,89,2,13,450,0,3,59,0,848,0,16,250,0,2,1,21,22,33,1,103,3,25,0,383,257,0,2,0,139,185,36,131,26,55,8,35,1,810,4,0,99,1504,3,23,14,1,7,83,48,35,0,81,0,56,0,10,6,20,1,49,324,0,3423,0,199,0,39,4,8,0,0,0,0,0,0,0,0,0,0,0,0,54,13,0,54,3787,4,0,0,0,0,84,0,186,0,0,0,433,3,0,0,0,1,41,30,28,0,3,0,0,0,1,0,0,53,29,198,41,66,0,0,168,98,68,2,0,0,244,0,0,0,0,0,0,0,71,97,0,53,226,358,28,73,132,0,0,104,258,0,37,0,0,137,0,21,34,220,322,4,326,146,12,0,481,76,141,33,176,84,601,4,0,0,0,1,53,42,195,0,0,0,0,0,300,276,3917,20,6,0,0,1,0,0,0,188,0,311,18,42,131,0,0,0,0,0,40,1,162,70,6,2,311,0,0,0,0,0,2067,155,0,0,0,125,1168,3,6,0,0,0,0,538,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,189.75,140,69,0,0,0,1,0,0,0,233,4,15,0,36,0,41,129,8,7,651,0,3,29,0,182,1,0,330,0,0,1,0,21,32,1,222,0,7,0,591,128,0,3,0,161,140,36,173,22,100,9,27,3,766,1,0,62,546,8,36,4,7,0,64,35,28,1,91,0,38,0,10,13,22,0,54,3172,1,4197,0,247,0,22,7,0,0,0,0,0,8,0,0,0,0,0,0,10,151,19,0,22,6035,38,0,0,0,0,64,0,280,0,0,0,575,13,0,0,0,0,40,24,28,0,1,1,0,0,0,0,0,36,7,195,45,74,1,0,122,92,80,2,0,0,264,0,0,0,0,0,0,0,62,71,0,64,243,286,38,67,52,0,0,99,245,0,36,1,0,143,0,30,8,260,284,1,462,96,35,0,1754,97,173,22,364,8,8,6,0,0,0,0,39,43,230,1,0,0,0,0,581,176,2813,26,11,0,0,0,0,0,0,133,0,489,8,54,305,3,0,0,0,0,69,0,209,98,3,0,380,0,0,0,0,0,3591,233,0,15,0,474,738,6,5,0,1,1,0,449,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,181,128,66,0,0,0,0,0,0,0,88,1,22,12,10,0,12,204,1,0,54,0,0,5,0,6,0,0,83,0,0,15,0,15,18,0,55,0,48,0,1659,294,0,2,0,145,179,96,165,17,87,3,28,0,747,14,0,146,367,11,27,13,1,0,72,48,24,0,56,0,38,0,23,11,49,0,44,70,1,1154,0,269,0,10,5,0,1,0,0,0,0,0,0,0,0,0,5,0,104,5,0,40,4214,9,0,0,0,0,32,0,158,0,0,0,472,0,0,0,0,0,14,18,17,0,4,0,0,0,0,0,0,34,1,171,52,59,1,0,107,74,68,1,0,0,232,0,0,0,0,0,0,0,67,37,0,49,186,354,232,93,72,0,0,134,268,0,77,0,0,130,0,40,23,201,217,1,234,42,18,0,741,78,133,22,411,25,0,6,0,0,0,0,39,15,184,2,0,0,0,0,536,126,3738,28,0,0,0,1,0,0,0,95,0,190,3,31,170,2,0,0,0,0,45,0,142,30,13,0,242,0,0,0,0,0,4790,231,0,0,0,1480,660,0,8,0,0,0,0,54,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995,171.25,138,59,0,0,0,0,0,0,0,72,2,6,0,41,0,36,114,0,27,374,0,0,5,0,2,1,0,69,0,1,0,0,21,23,1,127,3,25,0,551,87,0,6,0,121,180,120,152,22,453,8,64,0,1318,20,0,60,948,15,34,18,3,0,67,38,29,0,50,0,66,0,10,7,79,0,123,820,0,1560,0,268,0,20,4,0,0,1,0,0,0,0,0,0,0,0,9,0,61,12,0,42,922,7,0,0,0,0,24,0,105,1,0,0,531,0,0,0,0,1,23,10,23,0,2,0,0,0,0,1,0,33,4,140,22,76,1,0,62,73,80,1,0,0,228,0,0,0,0,0,0,0,45,46,0,72,108,399,23,168,4,0,0,60,217,0,51,1,0,132,0,58,9,210,219,4,403,98,20,0,716,74,91,11,323,50,96,13,0,0,0,0,63,60,162,1,0,0,0,0,375,310,4030,31,0,0,0,0,0,0,0,85,2,165,1,81,218,0,1,1,0,0,57,1,175,34,0,2,242,0,0,0,0,0,5953,380,0,0,0,419,1487,12,1,0,0,0,0,400,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996,176.25,141,56,0,0,0,0,0,0,0,126,0,41,0,39,0,33,232,0,1,348,1,1,127,0,19,1,2,97,0,0,8,0,2,15,0,126,0,220,1,1054,157,0,3,0,210,313,46,100,29,154,12,225,0,852,72,0,168,420,7,32,9,6,2,109,58,45,6,79,0,51,0,26,24,100,1,216,1128,1,1250,0,386,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,309,28,0,59,3254,15,0,0,0,0,32,0,137,0,0,0,391,0,0,0,0,1,19,18,25,0,4,0,0,0,0,0,0,28,19,258,48,72,1,0,95,83,57,2,0,0,164,1,0,0,0,0,0,0,57,59,0,56,279,291,19,85,451,0,0,90,223,0,55,0,0,111,1,76,13,221,157,0,238,83,69,0,2887,120,179,12,218,27,480,3,0,0,0,0,62,42,166,2,0,1,0,0,261,90,5697,19,1,0,0,0,1,0,1,112,0,142,1,6,129,2,3,0,2,0,56,1,187,43,3,0,300,0,0,0,0,1,5554,263,0,0,0,1430,2658,3,10,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997,163.5,142,53,0,0,0,0,0,0,0,122,1,15,0,6,0,12,200,0,0,74,1,0,953,0,172,3,1,37,0,1,13,0,17,26,1,77,2,36,1,609,122,0,4,0,127,152,33,104,27,136,17,51,0,1062,11,0,127,405,6,24,12,4,1,61,37,21,3,69,0,38,0,19,18,36,0,194,1629,1,1596,0,309,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,81,32,0,12,1601,11,0,0,0,0,36,0,177,39,0,0,304,3,0,0,0,1,22,20,36,0,2,0,0,0,0,0,0,27,7,173,41,90,0,0,74,88,40,0,0,0,138,0,0,0,0,0,0,0,55,47,0,56,180,316,151,130,1671,0,0,88,270,0,19,0,0,110,0,23,13,268,132,0,216,74,30,0,278,73,132,19,406,3,13,8,1,0,1,0,41,36,114,2,0,1,0,0,158,130,4573,20,0,1,0,0,0,0,0,157,0,263,8,11,71,1,1,0,0,1,63,0,188,91,2,1,364,0,0,0,0,0,9403,224,0,1,0,758,768,146,8,0,0,11,0,248,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,172.5,144,54,2,0,0,0,0,0,0,868,6,16,0,46,0,34,364,5,32,210,0,0,140,0,69,2,2,135,0,0,13,0,0,23,0,155,0,207,0,383,613,0,8,0,212,307,139,153,27,41,23,88,0,746,290,0,161,839,9,21,7,2,0,40,25,13,2,62,0,43,0,10,5,55,5,434,2640,2,1361,0,245,0,32,23,0,0,0,0,0,13,0,0,1,1,0,25,0,308,2,0,10,1051,4,0,0,0,0,6,0,129,33,0,0,454,2,0,0,0,0,26,19,28,0,1,0,0,0,0,0,2,70,19,157,45,94,0,0,91,85,56,0,1,0,237,2,0,0,0,0,0,0,46,89,0,70,166,433,104,146,226,0,0,89,236,0,10,0,0,113,0,24,14,269,244,0,382,150,61,0,497,83,144,26,265,110,348,5,0,1,0,0,50,41,199,1,0,0,0,0,269,167,3139,34,2,0,0,0,0,1,0,140,0,85,6,5,47,0,8,1,0,2,42,0,112,44,0,1,322,0,0,0,0,0,3695,241,0,4,0,1103,1630,200,9,0,0,21,0,372,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,173.25,149,58,0,0,0,13,30,0,0,211,75,7,0,29,0,29,1133,2,85,1370,0,0,992,0,23,3,1,247,0,0,7,550,1,20,2,145,0,427,0,1600,316,150,6,1,604,401,295,637,32,659,29,89,0,2701,750,2,739,807,15,25,16,7,1,154,57,94,3,88,0,41,0,9,4,16,0,168,1751,5,5035,0,534,1,89,14,0,0,0,0,0,150,25,0,3,0,0,0,40,209,29,0,48,241,3,0,0,0,0,33,0,201,160,0,0,503,0,0,0,0,0,33,24,26,0,1,0,0,1,0,2,0,44,11,164,31,105,0,0,84,72,55,0,0,0,218,2,0,0,0,0,0,0,50,76,0,76,168,382,90,114,73,0,0,88,186,0,12,0,0,99,0,59,26,297,264,5,383,74,23,0,646,81,120,19,174,56,25,8,0,0,0,0,51,55,276,0,0,0,0,0,281,123,2156,36,1,0,0,5,0,0,0,73,0,120,17,19,220,15,13,0,0,0,65,0,411,20,4,2,424,0,0,1,0,0,6086,157,0,68,0,954,1416,77,19,0,0,44,0,401,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,187.25,148,68,0,0,0,0,0,0,0,278,0,22,0,0,0,26,303,12,10,647,0,0,17,0,11,0,0,614,0,1,1,0,14,48,1,46,0,122,0,1067,108,500,3,0,199,263,41,82,15,916,9,27,0,475,46,0,343,1957,12,64,13,14,1,71,38,31,2,60,0,82,0,1,7,45,0,63,45,1,3663,5,696,1,70,21,0,0,0,0,0,15,35,0,0,18,0,37,0,186,2,0,6,596,0,0,0,0,0,15,0,170,51,0,0,590,6,0,0,0,3,10,8,20,0,1,0,0,0,0,2,0,30,11,130,34,57,0,0,31,35,61,0,0,0,295,0,1,0,0,0,0,0,54,55,0,80,71,433,82,131,1,0,0,77,201,0,11,0,0,88,0,21,14,146,330,2,340,111,28,0,1571,50,126,23,218,20,87,10,1,0,0,0,55,63,160,1,0,1,0,0,328,100,2460,20,2,0,1,4,1,0,0,86,0,287,0,16,275,8,3,6,0,0,27,1,200,114,11,1,291,0,0,0,0,0,5809,333,0,0,0,2899,109,59,8,0,0,34,0,141,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,180,139,65,2,0,0,0,0,0,0,202,0,0,0,0,0,52,114,4,0,5,0,0,57,0,1,0,1,151,0,0,0,0,20,15,0,49,0,15,0,635,62,11,0,4,99,86,87,90,20,544,9,19,0,489,139,0,201,948,10,57,9,6,0,36,26,10,0,90,0,61,0,5,6,89,0,1144,5525,2,762,0,209,0,8,1,0,0,0,0,0,58,0,0,0,0,0,0,0,238,1,0,1,397,0,0,0,0,0,82,0,204,203,0,0,594,5,0,0,0,2,27,24,31,0,0,0,0,0,0,1,0,23,31,210,50,117,0,0,97,85,81,0,0,0,259,1,1,0,0,0,0,1,84,101,0,54,175,309,207,161,10,0,0,126,256,0,9,0,0,92,0,8,23,307,269,0,381,139,31,0,2927,109,167,21,538,21,118,4,1,0,0,0,52,35,160,3,0,0,1,0,404,145,3332,30,3,2,0,1,1,0,0,86,0,417,14,63,167,7,3,0,0,0,35,1,234,124,8,0,477,0,0,0,0,0,12403,318,0,2,0,1226,5972,123,19,0,0,126,0,448,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,191,152,65,8,0,0,0,0,1,151,520,4,10,0,5,0,24,255,3,8,481,0,0,6,1,7,1,0,116,0,0,0,0,12,41,0,7,2,6,0,559,95,2,2,0,113,127,55,55,8,46,6,27,0,395,46,0,143,869,6,42,10,7,1,45,32,12,1,99,0,51,0,5,6,59,0,203,919,0,1761,0,422,0,4,0,0,0,0,0,0,25,0,0,0,0,0,0,0,89,4,0,0,1158,2,0,0,0,0,46,0,214,77,0,7,584,2,0,0,0,0,15,13,21,0,0,0,0,0,0,0,0,16,47,330,73,153,0,0,89,101,60,1,0,0,349,2,1,0,0,1,0,0,80,100,0,80,310,184,20,143,79,1,0,71,336,0,10,0,0,118,0,16,8,349,299,12,620,276,96,0,1007,234,271,49,81,51,380,12,0,0,0,0,79,77,210,1,0,0,0,0,791,122,1848,29,3,2,1,1,2,2,0,165,0,426,9,141,170,9,3,0,4,1,102,0,230,145,10,1,595,0,1,1,0,0,7445,241,0,1,2,1131,2638,38,34,0,0,105,0,243,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,186,148,70,0,0,0,2,5,0,80,121,2,0,0,8,7,57,183,0,4,27,0,0,414,0,1,3,1,116,0,2,10,0,2,56,1,105,0,24,0,581,112,12,10,0,88,162,107,171,33,64,4,97,0,1060,300,0,162,527,6,34,11,5,0,0,42,18,3,102,0,39,0,2,8,78,0,248,592,0,1761,0,268,0,35,2,0,1,0,0,0,62,0,0,0,0,0,0,0,62,11,0,28,537,8,0,0,0,0,69,0,170,92,0,0,796,4,0,0,0,0,16,10,26,0,0,0,0,1,0,1,0,19,37,246,45,8,0,0,3,9,56,1,0,0,22,0,0,0,0,0,0,0,64,67,0,52,222,337,8,51,212,0,0,71,254,0,1,0,0,110,0,12,19,315,359,0,285,78,28,0,961,117,203,18,295,4,4,4,2,0,0,0,65,43,208,1,0,0,0,0,589,83,2068,31,2,1,0,0,1,0,0,131,0,581,16,55,173,14,3,0,0,1,63,1,371,74,12,1,605,0,0,0,0,0,5574,191,0,0,0,1095,1031,291,32,0,0,121,0,272,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,193.75,156,70,73,0,0,0,1,0,198,232,9,0,0,5,24,17,254,4,0,330,0,2,62,0,6,10,0,158,0,0,2,0,13,75,2,98,0,7,0,891,126,0,6,0,114,165,41,85,14,228,14,73,2,814,276,0,173,654,6,33,5,7,2,0,47,20,0,110,0,37,0,8,4,23,1,183,965,0,2693,0,196,0,26,7,0,0,0,0,0,121,0,0,16,0,0,12,0,144,9,0,27,1516,0,0,0,0,0,5,0,114,71,0,0,511,0,0,0,0,0,11,16,19,0,1,0,1,0,2,0,0,56,13,244,73,102,0,0,81,75,30,1,0,0,300,1,0,0,0,0,0,0,61,56,1,68,259,436,129,166,1405,1,93,272,0,0,3,0,0,134,0,8,16,342,291,0,606,163,69,0,1297,140,243,38,128,4,181,4,3,0,2,0,59,35,147,2,0,1,0,0,638,157,3260,35,2,1,0,1,1,0,0,139,0,121,13,23,110,4,1,0,0,0,64,0,130,75,23,4,441,0,0,0,0,0,8696,169,0,0,0,541,1452,13,57,0,0,53,1,480,128,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,171.5,147,76,216,0,0,2,5,0,83,332,1,0,0,13,0,0,208,0,0,51,4,0,756,0,12,0,0,155,0,0,0,0,0,132,0,114,0,108,0,914,209,0,13,0,124,197,91,163,24,95,27,90,0,886,114,0,105,287,11,19,9,5,0,71,44,25,2,85,0,16,0,22,2,45,0,222,2019,2,1332,0,88,0,32,3,0,0,0,0,0,4,0,0,0,0,0,0,0,479,9,0,101,228,4,0,0,0,0,15,0,122,56,0,1,453,5,0,0,0,0,10,12,18,0,1,0,0,0,0,0,0,30,22,199,36,72,0,0,51,65,33,1,0,0,237,0,0,0,0,0,0,0,65,67,0,88,327,218,35,100,3684,0,0,136,195,0,5,0,0,82,0,18,24,308,341,0,480,70,23,0,426,119,194,13,93,43,10,9,1,0,0,0,54,46,128,0,0,0,0,0,558,144,2066,26,1,1,0,0,2,1,0,100,0,408,20,43,196,11,2,52,0,0,52,1,306,47,1,0,492,0,0,0,0,1,5387,148,0,0,0,1069,218,19,14,0,0,84,0,185,87,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,212,159,90,458,0,0,0,2,0,60,857,8,0,0,22,0,25,225,15,0,445,0,0,2922,0,16,0,3,200,0,0,71,0,39,80,1,164,6,75,0,805,397,54,8,0,212,234,55,144,42,59,17,25,0,3167,157,10,125,506,8,40,10,16,2,106,40,51,15,140,0,40,0,7,0,20,0,298,4508,4,4150,0,182,0,29,1,0,0,0,0,0,0,0,0,0,0,0,2,0,206,10,1,63,146,0,0,0,0,0,9,0,106,28,0,0,410,0,0,0,0,1,23,45,45,0,1,0,0,0,1,1,0,51,3,282,81,120,3,0,160,112,52,0,1,0,501,2,0,0,0,0,0,0,54,136,0,116,261,457,49,52,189,0,0,159,230,0,11,0,0,190,1,38,28,406,349,30,874,165,133,0,12271,291,201,35,61,14,2085,7,1,1,0,0,63,91,238,3,0,0,0,0,590,157,4862,43,2,1,0,1,2,1,0,135,0,277,14,16,276,12,17,2,2,0,107,0,518,70,6,0,602,0,0,1,1,0,3404,212,0,27,0,159,794,148,72,0,0,149,0,494,114,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2007,240.5,151,84,104,0,2,0,1,0,120,408,3,1,4,40,0,146,835,9,8,1008,0,0,463,0,109,1,2,213,0,1,0,0,0,35,2,73,6,42,0,727,200,0,4,0,168,119,73,223,63,554,9,37,0,1616,78,0,625,2068,8,67,15,17,4,115,61,51,3,158,0,57,0,6,6,38,0,125,1945,0,5262,0,269,0,78,28,0,0,0,0,0,15,0,0,0,0,0,6,0,123,18,0,3,855,4,0,0,0,0,53,0,48,24,0,0,409,2,0,0,0,6,12,25,46,0,0,0,0,0,1,0,0,28,14,195,48,88,1,0,90,78,49,1,0,0,366,1,3,0,0,0,0,0,59,66,0,57,93,434,157,105,26,0,0,135,209,0,2,0,0,153,0,19,11,258,358,1,535,157,46,0,7948,187,130,14,49,12,43,5,0,0,0,0,71,49,148,2,0,0,0,0,773,154,2291,16,10,1,0,1,0,0,0,61,0,182,8,64,355,14,21,0,0,0,28,0,161,59,16,0,451,0,0,0,0,0,6827,18,0,3,0,556,802,42,13,0,0,69,3,298,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
